Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
15669829,01/06/2010 10:48:07 AM,01/22/2010 10:05:52 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11210,4014 AVENUE I,AVENUE I,EAST 40 STREET,ALBANY AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,02/05/2010 10:48:07 AM,,01/22/2010 12:00:00 AM,18 BROOKLYN,BROOKLYN,1001600,168779,40.629918915712324,-73.93749375855319,"(40.629918915712324, -73.93749375855319)"
15686366,01/08/2010 08:06:02 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11378,55-05 ARNOLD AVENUE,ARNOLD AVENUE,55 STREET,56 STREET,,,ADDRESS,MASPETH,,N/A,Assigned,02/07/2010 08:06:02 AM,,01/08/2010 03:13:53 PM,05 QUEENS,QUEENS,1009331,199589,40.71446689012003,-73.90952692835079,"(40.71446689012003, -73.90952692835079)"
15703385,01/11/2010 09:32:37 AM,01/25/2010 03:45:23 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11379,69-80 JUNIPER BLVD SOUTH,JUNIPER BLVD SOUTH,69 LANE,70 STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,02/10/2010 09:32:37 AM,,01/25/2010 12:00:00 AM,05 QUEENS,QUEENS,1016008,200502,40.716951406517005,-73.88543713477206,"(40.716951406517005, -73.88543713477206)"
15705007,01/11/2010 10:55:44 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10303,18 SANDERS STREET,SANDERS STREET,FOREST AVENUE,MONSEY PLACE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,02/10/2010 10:55:44 AM,,01/11/2010 03:38:06 PM,01 STATEN ISLAND,STATEN ISLAND,942182,167005,40.624966768175376,-74.15154573786515,"(40.624966768175376, -74.15154573786515)"
15705497,01/11/2010 10:51:28 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10312,591 BARLOW AVENUE,BARLOW AVENUE,ELTINGVILLE BOULEVARD,BARTLETT AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,02/10/2010 10:51:28 AM,,01/11/2010 03:38:19 PM,03 STATEN ISLAND,STATEN ISLAND,937729,142328,40.55721120821762,-74.16741728505964,"(40.55721120821762, -74.16741728505964)"
15704891,01/11/2010 08:41:03 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11103,28-40 49 STREET,49 STREET,28 AVENUE,30 AVENUE,,,ADDRESS,ASTORIA,,N/A,Assigned,02/10/2010 08:41:03 AM,,01/11/2010 12:00:00 AM,01 QUEENS,QUEENS,1009939,216612,40.76118903848154,-73.9072687259042,"(40.76118903848154, -73.9072687259042)"
15706307,01/11/2010 04:10:44 PM,01/12/2010 11:16:20 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11106,34-41 28 STREET,28 STREET,34 AVENUE,35 AVENUE,,,ADDRESS,ASTORIA,,N/A,Closed,02/10/2010 04:10:44 PM,,01/12/2010 12:00:00 AM,01 QUEENS,QUEENS,1003591,216217,40.76012103104483,-73.93018464443372,"(40.76012103104483, -73.93018464443372)"
15715700,01/12/2010 08:09:48 PM,02/01/2010 01:42:55 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10467,2410 BARKER AVENUE,BARKER AVENUE,WARING AVENUE,MACE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,02/11/2010 08:09:48 PM,,02/01/2010 12:00:00 AM,11 BRONX,BRONX,1020372,253279,40.861793161634004,-73.86941076680615,"(40.861793161634004, -73.86941076680615)"
15722835,01/13/2010 01:45:53 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,10306,31 NEW DORP PLAZA,NEW DORP PLAZA,NEW DORP LANE,ROSE AVENUE,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,02/12/2010 01:45:53 PM,,01/13/2010 12:00:00 AM,02 STATEN ISLAND,STATEN ISLAND,951785,148437,40.57404181098006,-74.11686270714883,"(40.57404181098006, -74.11686270714883)"
15724277,01/13/2010 06:50:25 PM,02/02/2010 04:14:16 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11366,73-72 194 STREET,194 STREET,73 AVENUE,75 AVENUE,,,ADDRESS,FRESH MEADOWS,,N/A,Closed,02/12/2010 06:50:25 PM,,02/02/2010 12:00:00 AM,08 QUEENS,QUEENS,1045650,206824,40.734147641617156,-73.77845013086919,"(40.734147641617156, -73.77845013086919)"
15732264,01/14/2010 02:07:27 PM,02/02/2010 04:12:03 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11103,44-14 NEWTOWN ROAD,NEWTOWN ROAD,44 STREET,45 STREET,,,ADDRESS,ASTORIA,,N/A,Closed,02/13/2010 02:07:27 PM,,02/02/2010 12:00:00 AM,01 QUEENS,QUEENS,1008032,215875,40.75917149873549,-73.91415515190998,"(40.75917149873549, -73.91415515190998)"
15739208,01/15/2010 02:50:35 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11361,200-05 33 AVENUE,33 AVENUE,200 STREET,201 STREET,,,ADDRESS,BAYSIDE,,N/A,Assigned,02/14/2010 02:50:35 PM,,01/19/2010 12:00:00 AM,11 QUEENS,QUEENS,1042892,219179,40.76807761026297,-73.7882940511507,"(40.76807761026297, -73.7882940511507)"
15738478,01/15/2010 04:09:40 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,338 EAST 20 STREET,EAST 20 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,02/14/2010 04:09:40 PM,,01/19/2010 12:00:00 AM,06 MANHATTAN,MANHATTAN,989418,207284,40.735621837820496,-73.9813518917996,"(40.735621837820496, -73.9813518917996)"
15738098,01/15/2010 10:22:58 PM,02/01/2010 02:19:48 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11355,41-82 MAIN STREET,MAIN STREET,SANFORD AVENUE,MAPLE AVENUE,,,ADDRESS,FLUSHING,,N/A,Closed,02/14/2010 10:22:58 PM,,02/01/2010 12:00:00 AM,07 QUEENS,QUEENS,1031759,214739,40.7559578160306,-73.82851702649212,"(40.7559578160306, -73.82851702649212)"
15737937,01/15/2010 09:45:51 AM,02/01/2010 03:10:03 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,11418,83-84 116 STREET,116 STREET,CURZON ROAD,84 AVENUE,,,ADDRESS,RICHMOND HILL,,N/A,Closed,02/14/2010 09:45:51 AM,,02/01/2010 12:00:00 AM,09 QUEENS,QUEENS,1029808,195862,40.70415542981932,-73.83568692119815,"(40.70415542981932, -73.83568692119815)"
15744996,01/16/2010 12:42:52 PM,02/03/2010 03:29:22 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11230,1552 EAST 16 STREET,EAST 16 STREET,AVENUE O,AVENUE P,,,ADDRESS,BROOKLYN,,N/A,Closed,02/15/2010 12:42:52 PM,,02/03/2010 12:00:00 AM,14 BROOKLYN,BROOKLYN,995935,162154,40.61174395755995,-73.95791432018561,"(40.61174395755995, -73.95791432018561)"
15746124,01/16/2010 12:28:27 PM,02/09/2010 01:46:30 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10012,510 LAGUARDIA PLACE,LAGUARDIA PLACE,WEST HOUSTON STREET,BLEECKER STREET,,,ADDRESS,NEW YORK,,N/A,Closed,02/15/2010 12:28:27 PM,,02/09/2010 12:00:00 AM,02 MANHATTAN,MANHATTAN,984453,204401,40.72771021739767,-73.99926758581557,"(40.72771021739767, -73.99926758581557)"
15749899,01/18/2010 12:38:23 AM,02/09/2010 10:05:45 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10028,354 EAST 81 STREET,EAST 81 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,02/17/2010 12:38:23 AM,,02/09/2010 12:00:00 AM,08 MANHATTAN,MANHATTAN,997315,221310,40.774111495646004,-73.95282926435026,"(40.774111495646004, -73.95282926435026)"
15748842,01/17/2010 04:20:11 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10019,840 8 AVENUE,8 AVENUE,WEST 50 STREET,WEST 51 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,02/16/2010 04:20:11 AM,,01/19/2010 12:00:00 AM,05 MANHATTAN,MANHATTAN,988184,217147,40.76269392180764,-73.9857988630046,"(40.76269392180764, -73.9857988630046)"
15752969,01/18/2010 11:23:42 AM,02/03/2010 04:18:02 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11379,71-03 METROPOLITAN AVENUE,METROPOLITAN AVENUE,71 STREET,PLEASANTVIEW STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,02/17/2010 11:23:42 AM,,02/03/2010 12:00:00 AM,05 QUEENS,QUEENS,1016415,198799,40.712275612107305,-73.8839770736682,"(40.712275612107305, -73.8839770736682)"
15753131,01/18/2010 10:09:22 AM,02/23/2010 11:11:57 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11694,209 BEACH 125 STREET,BEACH 125 STREET,ROCKAWAY BEACH BOULEVARD,NEWPORT AVENUE,,,ADDRESS,ROCKAWAY PARK,,N/A,Closed,02/17/2010 10:09:22 AM,,02/23/2010 12:00:00 AM,14 QUEENS,QUEENS,1027324,149788,40.57770483918848,-73.8449400446606,"(40.57770483918848, -73.8449400446606)"
15752419,01/18/2010 10:21:47 AM,02/03/2010 03:36:59 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11214,2572 WEST 17 STREET,WEST 17 STREET,BAY 50 STREET,AVENUE Z,,,ADDRESS,BROOKLYN,,N/A,Closed,02/17/2010 10:21:47 AM,,02/03/2010 12:00:00 AM,13 BROOKLYN,BROOKLYN,988143,152449,40.5851125449743,-73.98598423524966,"(40.5851125449743, -73.98598423524966)"
15752967,01/18/2010 11:10:05 AM,02/03/2010 04:13:54 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11379,71-01 METROPOLITAN AVENUE,METROPOLITAN AVENUE,71 STREET,PLEASANTVIEW STREET,,,ADDRESS,MIDDLE VILLAGE,,N/A,Closed,02/17/2010 11:10:05 AM,,02/03/2010 12:00:00 AM,05 QUEENS,QUEENS,1016406,198797,40.71227015530269,-73.8840095472381,"(40.71227015530269, -73.8840095472381)"
15765636,01/20/2010 10:26:49 AM,02/09/2010 09:49:08 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11420,116-11 120 STREET,120 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Closed,02/19/2010 10:26:49 AM,,02/09/2010 12:00:00 AM,10 QUEENS,QUEENS,1034658,185493,40.67566867316647,-73.81827216064679,"(40.67566867316647, -73.81827216064679)"
15773853,01/21/2010 09:51:22 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10031,545 WEST 142 STREET,WEST 142 STREET,HAMILTON PLACE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Assigned,02/20/2010 09:51:22 AM,,01/22/2010 12:00:00 AM,09 MANHATTAN,MANHATTAN,997919,239486,40.823998737228465,-73.9506115438982,"(40.823998737228465, -73.9506115438982)"
15782701,01/22/2010 09:28:50 AM,01/22/2010 10:46:51 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10465,923 HUNTINGTON AVENUE,HUNTINGTON AVENUE,LAFAYETTE AVENUE,BARKLEY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,02/21/2010 09:28:50 AM,,01/22/2010 12:00:00 AM,10 BRONX,BRONX,1031152,240875,40.827697193673266,-73.83052546308947,"(40.827697193673266, -73.83052546308947)"
15793276,01/24/2010 12:22:04 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11379,65-27 77 STREET,77 STREET,65 DRIVE,JUNIPER VALLEY ROAD,,,ADDRESS,MIDDLE VILLAGE,,N/A,Assigned,02/23/2010 12:22:04 PM,,01/25/2010 12:00:00 AM,05 QUEENS,QUEENS,1018294,200294,40.71637199553595,-73.87719174870381,"(40.71637199553595, -73.87719174870381)"
15799957,01/25/2010 01:36:09 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11225,1185 CARROLL STREET,CARROLL STREET,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,02/24/2010 01:36:09 PM,,01/25/2010 03:52:06 PM,09 BROOKLYN,BROOKLYN,998218,182333,40.66712768077816,-73.94964990195497,"(40.66712768077816, -73.94964990195497)"
15800109,01/25/2010 11:38:27 AM,01/25/2010 01:25:10 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,1-2 Family Dwelling,10465,1530 MCDONOUGH PLACE,MCDONOUGH PLACE,BRUCKNER BOULEVARD,MIDDLETOWN ROAD,,,ADDRESS,BRONX,,N/A,Closed,02/24/2010 11:38:27 AM,,01/25/2010 12:00:00 AM,10 BRONX,BRONX,1032656,247185,40.84500816813156,-73.8250454222872,"(40.84500816813156, -73.8250454222872)"
15809370,01/26/2010 02:44:07 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10474,350 CASANOVA STREET,CASANOVA STREET,VIELE AVENUE,EAST BAY AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,02/25/2010 02:44:07 PM,,01/26/2010 04:33:52 PM,02 BRONX,BRONX,1015144,233393,40.80723172063091,-73.88840274142167,"(40.80723172063091, -73.88840274142167)"
15806488,01/26/2010 03:59:26 PM,02/10/2010 11:02:26 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10305,187 DONGAN HILLS AVENUE,DONGAN HILLS AVENUE,HUSSON STREET,VERA STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,02/25/2010 03:59:26 PM,,02/10/2010 12:00:00 AM,02 STATEN ISLAND,STATEN ISLAND,957596,152702,40.58576776150975,-74.09596196557874,"(40.58576776150975, -74.09596196557874)"
15815522,01/27/2010 09:30:57 AM,02/11/2010 10:56:15 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11215,351 7 AVENUE,7 AVENUE,10 STREET,11 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,02/26/2010 09:30:57 AM,,02/11/2010 12:00:00 AM,06 BROOKLYN,BROOKLYN,989193,181974,40.666151944250146,-73.98218235381286,"(40.666151944250146, -73.98218235381286)"
15815755,01/27/2010 07:35:43 PM,02/10/2010 09:34:02 AM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11428,215-45 JAMAICA AVENUE,JAMAICA AVENUE,215 PLACE,216 STREET,,,ADDRESS,QUEENS VILLAGE,,N/A,Closed,02/26/2010 07:35:43 PM,,02/10/2010 12:00:00 AM,13 QUEENS,QUEENS,1056453,200748,40.71738898022189,-73.73953502439859,"(40.71738898022189, -73.73953502439859)"
15833367,01/29/2010 12:56:03 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10306,304 FAIRBANK AVENUE,FAIRBANK AVENUE,HYLAN BOULEVARD,PENDALE STREET,,,ADDRESS,STATEN ISLAND,,N/A,Assigned,02/28/2010 12:56:03 PM,,02/02/2010 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,949564,142442,40.55757830419323,-74.12482677256673,"(40.55757830419323, -74.12482677256673)"
15890055,01/30/2010 11:21:00 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10460,1540 THERIOT AVENUE,THERIOT AVENUE,ARCHER STREET,GUERLAIN STREET,,,ADDRESS,BRONX,,N/A,Assigned,03/01/2010 11:21:00 AM,,02/02/2010 12:00:00 AM,09 BRONX,BRONX,1021420,244913,40.83882664493085,-73.86566839575464,"(40.83882664493085, -73.86566839575464)"
15897424,01/31/2010 03:16:26 PM,02/01/2010 01:13:25 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10003,225 EAST 5 STREET,EAST 5 STREET,COOPER SQUARE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,03/02/2010 03:16:26 PM,,02/01/2010 12:00:00 AM,03 MANHATTAN,MANHATTAN,986874,204303,40.727440844412,-73.99053277312754,"(40.727440844412, -73.99053277312754)"
15903654,02/01/2010 12:35:02 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11203,87 EAST 53 STREET,EAST 53 STREET,WINTHROP STREET,CLARKSON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,03/03/2010 12:35:02 PM,,02/02/2010 12:00:00 AM,17 BROOKLYN,BROOKLYN,1004196,179012,40.65800082350399,-73.92811098846161,"(40.65800082350399, -73.92811098846161)"
15904639,02/01/2010 11:06:09 AM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10025,410 CENTRAL PARK WEST,CENTRAL PARK WEST,WEST 100 STREET,WEST 101 STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,03/03/2010 11:06:09 AM,,02/02/2010 12:00:00 AM,07 MANHATTAN,MANHATTAN,994651,228833,40.79476366071454,-73.96243589629329,"(40.79476366071454, -73.96243589629329)"
15902806,02/01/2010 11:55:02 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10003,81 IRVING PLACE,IRVING PLACE,EAST 19 STREET,GRAMERCY PARK,,,ADDRESS,NEW YORK,,N/A,Assigned,03/03/2010 11:55:02 PM,,02/02/2010 05:37:47 PM,06 MANHATTAN,MANHATTAN,987996,207838,40.737143147529636,-73.98648269968568,"(40.737143147529636, -73.98648269968568)"
15915057,02/02/2010 12:06:33 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10028,501 1/2 EAST 83 STREET,EAST 83 STREET,YORK AVENUE,EAST END AVENUE,,,ADDRESS,NEW YORK,,N/A,Assigned,03/04/2010 12:06:33 PM,,02/02/2010 05:37:46 PM,08 MANHATTAN,MANHATTAN,998599,221210,40.77383503084872,-73.94819364082689,"(40.77383503084872, -73.94819364082689)"
15914906,02/02/2010 09:15:32 AM,03/09/2010 03:40:24 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11211,108 DIVISION AVENUE,DIVISION AVENUE,BEDFORD AVENUE,BEND,,,ADDRESS,BROOKLYN,,N/A,Closed,03/04/2010 09:15:32 AM,,03/09/2010 12:00:00 AM,01 BROOKLYN,BROOKLYN,994316,197094,40.707648533017924,-73.96369328768074,"(40.707648533017924, -73.96369328768074)"
15916320,02/02/2010 01:06:54 PM,02/17/2010 03:57:54 PM,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Mixed Use Building,10002,43 CLINTON STREET,CLINTON STREET,STANTON STREET,RIVINGTON STREET,,,ADDRESS,NEW YORK,,N/A,Closed,03/04/2010 01:06:54 PM,,02/17/2010 12:00:00 AM,03 MANHATTAN,MANHATTAN,988497,201543,40.71986468274901,-73.9846788330436,"(40.71986468274901, -73.9846788330436)"
15922474,02/03/2010 10:30:34 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10014,463 WEST STREET,WEST STREET,BANK STREET,BETHUNE STREET,,,ADDRESS,NEW YORK,,N/A,Assigned,03/05/2010 10:30:34 PM,,02/04/2010 04:36:52 PM,02 MANHATTAN,MANHATTAN,981490,207697,40.736756500051584,-74.00995929853407,"(40.736756500051584, -74.00995929853407)"
15940772,02/05/2010 03:41:57 PM,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11218,417 EAST 8 STREET,EAST 8 STREET,AVENUE C,CORTELYOU ROAD,,,ADDRESS,BROOKLYN,,N/A,Assigned,03/07/2010 03:41:57 PM,,02/05/2010 05:23:39 PM,12 BROOKLYN,BROOKLYN,992318,172391,40.63984640423088,-73.97092937466692,"(40.63984640423088, -73.97092937466692)"
